City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
246,kodiak,57.79,-152.4072,35.11,44,75,0.0,US,1678651714
247,amlame,7.4667,0.9,80.98,67,99,6.44,TG,1678651714
248,tarko-sale,64.9225,77.785,7.18,93,20,15.9,RU,1678651714
249,baoro,5.6667,15.9667,73.85,28,100,1.95,CF,1678651715
250,north bend,43.4065,-124.2243,54.91,96,100,10.36,US,1678651175
251,agirish,61.9247,63.0231,27.27,88,100,15.79,RU,1678651715
252,hami,42.8,93.45,48.67,21,9,5.48,CN,1678651715
253,ambon,-3.6954,128.1814,77.14,88,40,6.91,ID,1678651716
254,chara,56.9064,118.2631,-7.06,77,87,1.63,RU,1678651716
255,bria,6.5423,21.9863,85.6,33,100,4.76,CF,1678651716
256,okha,53.5739,142.9478,27.39,96,100,15.9,RU,1678651717
257,sitka,57.0531,-135.33,31.89,37,0,3.44,US,1678651717
258,mantua,45.1667,10.7833,54.55,77,6,1.99,IT,1678651263
259,elbistan,38.2059,37.1983,50.88,55,100,5.17,TR,1678651717
260,karakol,42.4907,78.3936,40.57,59,100,5.17,KG,1678651717
261,khandbari,27.3747,87.2039,60.4,41,0,3.94,NP,1678651718
262,george town,5.4112,100.3354,82.33,82,20,6.91,MY,1678651569
263,luganville,-15.5333,167.1667,78.96,86,85,5.7,VU,1678651718
264,freetown,8.484,-13.2299,77.85,85,91,10.67,SL,1678651718
265,kaeo,-35.1,173.7833,64.33,96,99,5.99,NZ,1678651719
266,grand gaube,-20.0064,57.6608,78.39,74,85,3.0,MU,1678651719
267,cidreira,-30.1811,-50.2056,79.2,80,0,15.03,BR,1678651719
268,kultuk,51.7208,103.6956,27.46,96,100,1.12,RU,1678651719
269,saint-paul,-21.0096,55.2707,77.11,98,66,4.38,RE,1678651720
270,ponta delgada,37.7333,-25.6667,61.52,82,40,17.27,PT,1678651720
271,klichka,50.4457,117.996,-6.59,97,100,2.84,RU,1678651721
272,gigmoto,13.7796,124.39,75.22,78,49,10.2,PH,1678651721
273,zhigansk,66.7697,123.3711,-14.91,100,100,11.52,RU,1678651721
274,richards bay,-28.783,32.0377,73.42,76,78,9.57,ZA,1678651721
275,sandwick,60.0,-1.25,42.62,75,75,14.97,GB,1678651722
276,nouadhibou,20.931,-17.0347,78.78,34,5,16.11,MR,1678651504
277,ulladulla,-35.35,150.4667,62.76,86,100,10.6,AU,1678651722
278,itoman,26.1247,127.6694,62.62,92,75,31.07,JP,1678651722
279,alice springs,-23.7,133.8833,62.15,39,0,5.75,AU,1678651723
280,dhola,21.8833,71.7833,82.85,21,65,7.52,IN,1678651723
281,mazyr,52.0495,29.2456,29.03,67,99,14.88,BY,1678651723
282,mahajanga,-15.7167,46.3167,78.35,85,100,6.24,MG,1678651724
283,salinopolis,-0.6136,-47.3561,79.03,84,100,14.25,BR,1678651724
284,paciran,-6.8767,112.3761,76.35,88,100,9.53,ID,1678651724
285,komsomolskiy,40.4272,71.7189,50.72,81,62,6.91,UZ,1678651725
286,mahibadhoo,3.7833,72.9667,81.82,80,100,14.45,MV,1678651725
287,solwezi,-12.1688,26.3894,61.52,93,100,2.53,ZM,1678651725
288,wesselsbron,-27.8549,26.3658,64.67,52,49,16.64,ZA,1678651725
289,upernavik,72.7868,-56.1549,-9.4,87,24,10.25,GL,1678651462
290,bacolod,10.6667,122.95,73.99,85,26,9.04,PH,1678651726
291,teya,60.3778,92.6267,12.63,86,100,11.9,RU,1678651726
292,itapirapua,-15.8233,-50.6133,79.65,76,95,6.85,BR,1678651727
293,phanat nikhom,13.4458,101.1844,84.0,100,91,5.37,TH,1678651727
294,san juan,-31.5375,-68.5364,96.94,25,0,8.19,AR,1678651727
295,bengkulu,-3.8004,102.2655,75.06,90,100,3.91,ID,1678651728
296,sabha,27.0377,14.4283,70.97,19,0,6.64,LY,1678651728
297,katima mulilo,-17.5,24.2667,71.58,56,32,4.81,NA,1678651728
298,trairi,-3.2778,-39.2689,81.86,74,100,9.44,BR,1678651618
299,villazon,-22.0866,-65.5942,66.54,22,3,12.01,BO,1678651728
300,portland,45.5234,-122.6762,48.29,92,100,12.66,US,1678651713
301,puerto baquerizo moreno,-0.9,-89.6,85.19,66,20,5.75,EC,1678651729
302,korhogo,9.45,-5.6333,75.02,75,100,9.89,CI,1678651729
303,omboue,-1.5746,9.2618,78.03,85,96,3.96,GA,1678651729
304,sobolevo,54.4299,31.8996,24.49,91,100,9.95,RU,1678651730
305,oranjemund,-28.55,16.4333,61.93,86,0,10.45,NA,1678651730
306,sovetskiy,61.3614,63.5842,27.23,86,100,13.8,RU,1678651730
307,saint anthony,45.0205,-93.218,34.21,86,100,10.36,US,1678651730
308,mayo,38.8876,-76.5119,44.2,73,100,6.91,US,1678651731
309,brae,60.3964,-1.353,38.8,76,75,16.64,GB,1678651731
310,santa rosa,14.3122,121.1114,78.12,82,100,5.53,PH,1678651731
311,rusape,-18.5278,32.1284,60.53,96,100,11.83,ZW,1678651732
312,pacific grove,36.6177,-121.9166,68.65,75,20,15.01,US,1678651732
313,padang,-0.9492,100.3543,77.05,91,100,5.03,ID,1678651732
314,wodonga,-36.1167,146.8833,50.27,88,8,4.9,AU,1678651732
315,santander,43.4647,-3.8044,61.92,85,0,4.61,ES,1678651733
316,havoysund,70.9963,24.6622,23.23,82,36,6.73,NO,1678651733
317,sibolga,1.7427,98.7792,75.63,90,100,3.53,ID,1678651639
318,yei,4.095,30.6779,70.95,66,98,3.58,SS,1678651733
319,hare bay,48.8499,-54.0148,27.75,82,100,11.61,CA,1678651734
320,bodmin,50.4715,-4.7243,53.67,100,75,26.46,GB,1678651734
321,wattens,47.2722,11.5993,34.63,91,20,3.44,AT,1678651734
322,udachnyy,66.4167,112.4,8.46,77,100,18.37,RU,1678651734
323,gwadar,25.1216,62.3254,75.61,69,0,2.75,PK,1678651735
324,salamiyah,35.0113,37.0532,58.71,41,64,5.57,SY,1678651736
325,biak,-0.9131,122.8766,74.46,91,100,6.64,ID,1678651737
326,pospelikha,51.95,81.7667,19.83,94,68,6.87,RU,1678651737
327,camacha,33.0833,-16.3333,62.02,82,20,5.75,PT,1678651738
